Egg Foo Young,蓉蛋,Veg Egg Food Young,Veg Egg Food Young,菜蓉蛋,,,113,,5.95,,,,,,1,,,
Egg Foo Young,蓉蛋,House Egg Food Young,House Egg Food Young,本楼蓉蛋,,,114,,7.5,,,,,,1,,,
Egg Foo Young,蓉蛋,Beef Egg Food Young,Beef Egg Food Young,牛蓉蛋,,,115,,7.25,,,,,,1,,,
Diet Menu,特别餐,D - Spinach w. Bean Curd,D - Spinach w. Bean Curd,,steamed - no oil - no salt,,D1,,7.25,,,,,,1,,,
Diet Menu,特别餐,D - Snow Peas w. Waterchestnut,D - Snow Peas w. Waterchestnut,,steamed - no oil - no salt,,D2,,6.25,,,,,,1,,,
Diet Menu,特别餐,D - Mixed Fresh Veg.,D - Mixed Fresh Veg.,,steamed - no oil - no salt,,D3,,6.95,,,,,,1,,,
Diet Menu,特别餐,D - String Bean & Broccoli,D - String Bean & Broccoli,,steamed - no oil - no salt,,D4,,6.95,,,,,,1,,,
Diet Menu,特别餐,D - Chicken w. Mixed Veg,D - Chicken w. Mixed Veg,,steamed - no oil - no salt,,D5,,8.25,,,,,,1,,,
Diet Menu,特别餐,D - Shrimp & Scallop w. Mixed Veg,D - Shrimp & Scallop w. Mixed Veg,,steamed - no oil - no salt,,D6,,10.95,,,,,,1,,,
Diet Menu,特别餐,D - Chicken w. Broccoli,D - Chicken w. Broccoli,,steamed - no oil - no salt,,D7,,8.25,,,,,,1,,,
Asian Noodle Soup,,Thai Curry Chicken Noodle Soup,Thai Curry Chicken Noodle Soup,,choice of Udon Noodle - Rice Noodle - Egg Noodle,,1,,7.5,,,,,1,,,1,
Asian Noodle Soup,,Cantonese Wonton Noodle Soup,Cantonese Wonton Noodle Soup,,choice of Udon Noodle - Rice Noodle - Egg Noodle,,2,,7.5,,,,,,,,1,
Asian Noodle Soup,,Seafood Noodle Soup,Seafood Noodle Soup,,choice of Udon Noodle - Rice Noodle - Egg Noodle,,3,,8.25,,,,,,,,1,
Asian Noodle Soup,,Shrimp Noodle Soup,Shrimp Noodle Soup,,choice of Udon Noodle - Rice Noodle - Egg Noodle,,4,,8.25,,,,,,,,1,
Asian Noodle Soup,,Beef Noodle Soup,Beef Noodle Soup,,choice of Udon Noodle - Rice Noodle - Egg Noodle,,5,,8.25,,,,,,,,1,
Asian Noodle Soup,,Chkn Noodle Soup ,Chicken Noodle Soup,,choice of Udon Noodle - Rice Noodle - Egg Noodle,,6,,7.25,,,,,,,,1,
Asian Food Special,,Chicken Dumpling,Chicken Dumpling,,,,,,4.55,,,,,,,1,,8
Asian Food Special,,Pork Bun,Pork Bun,,,,,,4.75,,,,,,,,,6
Asian Food Special,,Shrimp Dumpling,Shrimp Dumpling,,,,,,4.75,,,,,,,1,,8
Asian Food Special,,Teriyaki Chicken,Teriyaki Chicken,,4 pieces,,,,5.25,L40,5.25,,,,,,,6
Asian Food Special,,Chinese Broccoli w. Blk Bean Sauce,Chinese Broccoli w. Blk Bean Sauce,,,,,,7.99,,,,,,,,,
Asian Food Special,,Chicken Pad Thai,Chicken Pad Thai,,,,,,7.95,,,,,,,,,
Asian Food Special,,Shrimp Pad Thai,Shrimp Pad Thai,,,,,,8.5,,,,,,,,,
Asian Food Special,,Pork Pad Thai,Pork Pad Thai,,,,,,7.95,,,,,,,,,
Asian Food Special,,Chicken Sauteed Udon Noodle,Chicken Sauteed Udon Noodle,,,,,,7.95,,,,,,,,,
Asian Food Special,,Shrimp Sauteed Udon Noodle,Shrimp Sauteed Udon Noodle,,,,,,8.5,,,,,,,,,
Asian Food Special,,Pork Sauteed Udon Noodle,Pork Sauteed Udon Noodle,,,,,,7.95,,,,,,,,,
Asian Food Special,,Crispy Duck,Crispy Duck,,half duck,,,,12.95,,,,,,,,,
Asian Food Special,,Fish Filet w. Special Sauce,Fish Filet w. Special Sauce,,,,,,9.95,,,,,,,,,
Asian Food Special,,Imperial Pork Chop w. Lemon Grass,Imperial Pork Chop w. Lemon Grass Sauce,,,,,,8.25,,,,,,,,,
Asian Food Special,,Chicken Dumpling Noodle Soup,Chicken Dumpling Noodle Soup,,,,,,4.95,,,,,,,,1,4
Asian Food Special,,Shrimp Dumpling Noodle Soup,Shrimp Dumpling Noodle Soup,,,,,,5.5,,,,,,,,1,4
Asian Food Special,,Pork Dumpling Noodle Soup,Pork Dumpling Noodle Soup,,,,,,4.95,,,,,,,,1,4
Side Orders,,White Rice,White Rice,,,,,1.25,2,,,,,,,,,
Side Orders,,Brown Rice,Brown Rice,,,,,1.5,2.5,,,,,,,,,
Side Orders,,Noodles,Noodles,,,,,,1,,,,,,,,,
Side Orders,,Duck Sauce,Duck Sauce,,half pint,,,,2,,,,,,,,,
Side Orders,,Hot Oil,Hot Oil,,,,,,0,,,,,1,,,,
Side Orders,,Hot Mustard,Hot Mustard,,,,,,0,,,,,,,,,
Lunch Specials,,Chicken w. Pineapple,Chicken w. Pineapple,,,,,,,L6,4.95,,,,,,,
Lunch Specials,,Chicken w. Oyster Sauce,Chicken w. Oyster Sauce,,,,,,,L8,4.95,,,,,,,
Lunch Specials,,Vegetable Delight,Vegetable Delight,,,,,,,L17,4.95,,,,,,,
Lunch Specials,,Pork & String Bean in Garlic Sauce,Pork & String Bean in Garlic Sauce,,,,,,,L26,5.25,,,1,,,,
Lunch Specials,,Chkn & String Bean in Garlic Sauce,Chicken & String Bean in Garlic Sauce,,,,,,,L26,5.25,,,1,,,,
Lunch Specials,,Beef & String Bean in Garlic Sauce,Beef & String Bean in Garlic Sauce,,,,,,,L26,5.25,,,1,,,,
Lunch Specials,,Shr & String Bean in Garlic Sauce,Shrimp & String Bean in Garlic Sauce,,,,,,,L26,5.25,,,1,,,,
Chef's Specials,特别餐,General Tso's Tofu,General Tso's Tofu,,,,S1,,7.25,,,,,1,1,,,
Chef's Specials,特别餐,Sesame Tofu,Sesame Tofu,,,,S1,,7.25,,,,,1,1,,,
Chef's Specials,特别餐,Pineapple Chicken,Pineapple Chicken,,,,S2,,,,,,,,1,,,
Chef's Specials,特别餐,General Tso's Chicken,General Tso's Chicken,,,,S3,,,L35,5.25,22,7.5,1,1,,,
Chef's Specials,特别餐,Chicken & Beef Hunan Style,Chicken & Beef Hunan Style,,,,S4,10.95,,L32,5.25,,,1,1,,,
Chef's Specials,特别餐,Happy Couple,Happy Couple,,,,S5,10.95,,,,,,,1,,,
Chef's Specials,特别餐,Chicken & Shrimp Hunan Style,Chicken & Shrimp Hunan Style,,,,S6,9.5,,L12,4.95,,,1,1,,,
Chef's Specials,特别餐,Triple Crown,Triple Crown,,,,S7,,9.95,L38,5.25,,,,1,,,
Chef's Specials,特别餐,Stir Fried Seafood & Chicken,Stir Fried Seafood & Chicken,,,,S8,,10.5,,,,,,1,,,
Chef's Specials,特别餐,Blossom Delight,Blossom Delight,,,,S9,,9.95,,,,,,1,,,
Chef's Specials,特别餐,Dragon & Phoenix,Dragon & Phoenix,,,,S10,,10.5,,,,,1,1,,,
Chef's Specials,特别餐,Szechuan Royal,Szechuan Royal,,,,S11,,10.95,,,,,1,1,,,
